Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
1,2,5,4,yes,yes,hadoop,game development,excellent,poor,data engineering,Business process analyst,Web Services,yes,Management,smart worker,yes,no,Applications Developer
6,0,2,7,yes,yes,r programming,game development,excellent,excellent,hacking,Business process analyst,BPA,yes,Management,hard worker,no,yes,Applications Developer
7,1,6,6,no,no,app development,cloud computing,excellent,excellent,networks,security,product development,yes,Management,hard worker,yes,no,Applications Developer
5,0,5,1,yes,no,hadoop,game development,excellent,excellent,cloud computing,cloud computing,BPA,no,Technical,smart worker,no,yes,Applications Developer
8,2,3,6,yes,no,shell programming,web technologies,excellent,excellent,cloud computing,testing,product development,yes,Technical,hard worker,yes,no,Applications Developer
2,3,9,4,no,no,machine learning,database security,poor,poor,hacking,cloud computing,Finance,no,Management,smart worker,yes,no,Applications Developer
4,0,4,5,no,yes,information security,testing,poor,poor,parallel computing,Business process analyst,Finance,no,Technical,smart worker,yes,yes,Applications Developer
8,1,8,6,yes,no,r programming,system designing,medium,excellent,data engineering,security,Cloud Services,no,Technical,hard worker,no,yes,Applications Developer
1,1,5,5,yes,no,app development,web technologies,excellent,poor,Computer Architecture,testing,Finance,no,Technical,smart worker,no,no,Applications Developer
6,0,2,3,yes,no,python,cloud computing,poor,excellent,Management,system developer,BPA,yes,Management,hard worker,yes,yes,Applications Developer
7,5,2,8,yes,no,hadoop,cloud computing,poor,medium,Management,security,SAaS services,no,Technical,hard worker,no,no,Applications Developer
8,1,1,5,yes,yes,shell programming,web technologies,poor,medium,networks,security,Sales and Marketing,yes,Technical,hard worker,no,yes,Applications Developer
7,4,2,8,yes,no,app development,hacking,poor,poor,cloud computing,Business process analyst,Web Services,no,Management,hard worker,no,yes,Applications Developer
2,2,2,1,no,yes,shell programming,data science,excellent,excellent,programming,security,BPA,no,Technical,hard worker,no,yes,Applications Developer
6,2,8,1,yes,yes,r programming,data science,excellent,poor,networks,cloud computing,Product based,yes,Management,smart worker,no,yes,Applications Developer
9,2,6,9,yes,yes,machine learning,cloud computing,excellent,excellent,data engineering,developer,Sales and Marketing,yes,Technical,smart worker,yes,yes,Applications Developer
4,3,5,2,no,yes,hadoop,system designing,excellent,poor,Computer Architecture,cloud computing,BPA,yes,Management,hard worker,no,yes,Applications Developer
4,0,9,3,yes,no,information security,cloud computing,poor,medium,parallel computing,developer,Service Based,yes,Management,hard worker,no,yes,Applications Developer
1,5,1,8,no,no,machine learning,hacking,medium,medium,hacking,Business process analyst,Finance,no,Management,hard worker,yes,yes,Applications Developer
2,2,8,3,no,no,machine learning,system designing,poor,excellent,hacking,testing,SAaS services,yes,Technical,hard worker,no,yes,Applications Developer
6,2,1,8,yes,yes,hadoop,web technologies,excellent,excellent,programming,security,Web Services,yes,Management,hard worker,no,no,Applications Developer
9,0,6,1,yes,no,r programming,data science,poor,poor,data engineering,developer,Testing and Maintainance Services,yes,Technical,smart worker,yes,yes,Applications Developer
9,5,5,4,yes,yes,shell programming,game development,excellent,poor,networks,Business process analyst,product development,yes,Management,smart worker,no,yes,Applications Developer
5,0,1,7,yes,no,hadoop,system designing,excellent,medium,parallel computing,system developer,Service Based,no,Technical,hard worker,yes,yes,Applications Developer
5,5,7,8,yes,no,machine learning,game development,medium,poor,networks,system developer,Finance,yes,Management,smart worker,no,no,Applications Developer
3,0,7,9,no,yes,full stack,system designing,medium,poor,data engineering,security,product development,yes,Technical,hard worker,no,no,Applications Developer
2,6,6,1,no,yes,hadoop,cloud computing,poor,medium,IOT,Business process analyst,Sales and Marketing,no,Technical,hard worker,yes,yes,Applications Developer
3,1,1,8,no,no,r programming,data science,excellent,poor,parallel computing,developer,Product based,yes,Management,smart worker,yes,yes,Applications Developer
6,0,4,4,yes,yes,r programming,cloud computing,excellent,medium,IOT,developer,Finance,yes,Technical,smart worker,yes,no,Applications Developer
1,0,9,2,no,no,hadoop,system designing,poor,excellent,data engineering,system developer,Web Services,no,Technical,smart worker,yes,yes,Applications Developer
7,6,9,3,no,yes,full stack,testing,medium,medium,hacking,Business process analyst,SAaS services,no,Technical,hard worker,no,yes,Applications Developer
4,6,4,6,no,no,hadoop,testing,medium,poor,cloud computing,cloud computing,Cloud Services,no,Management,hard worker,yes,yes,Applications Developer
4,5,4,4,yes,no,hadoop,hacking,excellent,medium,Computer Architecture,cloud computing,Finance,yes,Technical,hard worker,yes,yes,Applications Developer
9,4,6,4,no,yes,information security,cloud computing,medium,excellent,programming,security,Cloud Services,yes,Management,smart worker,no,yes,Applications Developer
8,6,1,8,no,no,r programming,database security,excellent,poor,programming,testing,Testing and Maintainance Services,yes,Technical,hard worker,no,yes,Applications Developer
1,6,4,5,no,yes,full stack,hacking,medium,excellent,cloud computing,testing,Service Based,yes,Management,smart worker,no,no,Applications Developer
2,4,5,3,yes,yes,machine learning,data science,medium,excellent,cloud computing,cloud computing,Testing and Maintainance Services,yes,Management,smart worker,yes,no,Applications Developer
6,4,3,3,yes,yes,r programming,testing,medium,excellent,networks,Business process analyst,Sales and Marketing,no,Technical,smart worker,no,yes,Applications Developer
4,2,7,3,yes,yes,information security,web technologies,excellent,medium,networks,developer,Testing and Maintainance Services,yes,Management,smart worker,yes,no,Applications Developer
1,4,7,6,yes,yes,r programming,data science,excellent,poor,Computer Architecture,testing,Service Based,no,Management,hard worker,no,yes,Applications Developer
5,5,3,1,yes,yes,python,web technologies,excellent,excellent,IOT,security,BPA,no,Technical,hard worker,yes,yes,Applications Developer
4,0,7,2,no,no,distro making,system designing,excellent,excellent,parallel computing,testing,Testing and Maintainance Services,no,Management,smart worker,no,yes,Applications Developer
9,4,3,5,no,yes,app development,data science,poor,excellent,Computer Architecture,cloud computing,Web Services,no,Management,smart worker,yes,yes,Applications Developer
3,2,4,4,yes,no,app development,cloud computing,excellent,poor,programming,Business process analyst,Service Based,no,Management,hard worker,no,yes,Applications Developer
3,3,9,7,no,yes,r programming,game development,poor,poor,Software Engineering,system developer,product development,yes,Management,hard worker,yes,no,Applications Developer
6,2,8,9,no,yes,python,data science,medium,medium,Management,testing,SAaS services,no,Technical,hard worker,yes,yes,Applications Developer
2,2,2,7,yes,yes,shell programming,data science,excellent,medium,Computer Architecture,cloud computing,Finance,yes,Management,hard worker,yes,no,Applications Developer
2,6,5,1,no,no,distro making,game development,poor,poor,hacking,system developer,Finance,yes,Management,hard worker,no,yes,Applications Developer
8,6,4,5,yes,yes,shell programming,system designing,medium,excellent,cloud computing,developer,Sales and Marketing,no,Technical,smart worker,no,yes,Applications Developer
5,3,2,7,no,no,r programming,web technologies,excellent,poor,networks,cloud computing,Testing and Maintainance Services,no,Technical,smart worker,yes,no,Applications Developer
8,0,8,2,no,yes,python,game development,medium,excellent,Management,Business process analyst,BPA,no,Management,hard worker,no,no,Applications Developer
2,2,1,7,yes,yes,app development,data science,excellent,medium,data engineering,security,Web Services,yes,Technical,smart worker,yes,yes,Applications Developer
5,4,5,9,no,yes,shell programming,system designing,poor,medium,Computer Architecture,system developer,Testing and Maintainance Services,yes,Management,smart worker,yes,yes,Applications Developer
9,0,4,2,yes,yes,shell programming,testing,poor,poor,hacking,cloud computing,Testing and Maintainance Services,no,Technical,smart worker,no,no,Applications Developer
5,3,7,7,no,no,r programming,database security,excellent,medium,networks,security,Web Services,yes,Technical,smart worker,yes,yes,Applications Developer
4,2,8,2,yes,no,hadoop,web technologies,medium,medium,Management,cloud computing,Sales and Marketing,no,Management,hard worker,yes,no,Applications Developer
9,1,7,7,yes,no,information security,game development,excellent,poor,Computer Architecture,cloud computing,Cloud Services,no,Technical,hard worker,yes,yes,Applications Developer
5,5,1,8,yes,yes,shell programming,system designing,excellent,medium,hacking,developer,Finance,yes,Technical,hard worker,yes,yes,Applications Developer
1,1,1,9,yes,no,app development,cloud computing,poor,medium,Computer Architecture,developer,Service Based,no,Technical,smart worker,no,no,Applications Developer
7,4,6,9,yes,no,machine learning,testing,medium,poor,networks,testing,Sales and Marketing,no,Management,smart worker,no,yes,Applications Developer
3,1,6,5,no,yes,machine learning,data science,poor,poor,Software Engineering,system developer,Service Based,no,Management,hard worker,yes,no,Applications Developer
6,0,5,7,no,no,app development,game development,poor,excellent,Software Engineering,security,Product based,no,Technical,smart worker,no,no,Applications Developer
1,5,5,5,yes,yes,shell programming,testing,medium,medium,data engineering,Business process analyst,Service Based,no,Management,hard worker,yes,yes,Applications Developer
4,3,1,9,yes,yes,machine learning,cloud computing,medium,excellent,Computer Architecture,testing,Sales and Marketing,yes,Management,hard worker,yes,yes,Applications Developer
1,2,3,8,yes,yes,python,system designing,medium,poor,data engineering,security,BPA,yes,Technical,hard worker,no,yes,Applications Developer
5,1,5,4,no,no,machine learning,game development,poor,medium,parallel computing,developer,Cloud Services,yes,Technical,smart worker,yes,no,Applications Developer
9,4,9,4,yes,no,hadoop,web technologies,poor,excellent,Software Engineering,testing,Product based,yes,Management,hard worker,no,yes,Applications Developer
2,1,9,8,yes,yes,python,hacking,poor,medium,cloud computing,system developer,Cloud Services,yes,Management,hard worker,no,yes,Applications Developer
4,4,5,1,no,yes,shell programming,hacking,poor,medium,programming,system developer,Testing and Maintainance Services,yes,Technical,smart worker,yes,no,Applications Developer
1,5,5,9,yes,no,full stack,system designing,medium,poor,Software Engineering,developer,Service Based,no,Management,hard worker,yes,yes,Applications Developer
1,3,7,3,yes,yes,r programming,database security,medium,poor,programming,system developer,Product based,yes,Management,smart worker,yes,no,Applications Developer
7,5,2,8,no,no,full stack,testing,medium,poor,networks,developer,product development,yes,Management,smart worker,no,no,Applications Developer
8,4,9,4,yes,no,information security,cloud computing,poor,excellent,IOT,developer,Web Services,no,Management,hard worker,yes,no,Applications Developer
1,2,3,5,no,no,full stack,game development,poor,poor,Computer Architecture,system developer,product development,no,Technical,smart worker,yes,yes,Applications Developer
5,6,7,9,yes,yes,distro making,cloud computing,poor,excellent,parallel computing,testing,SAaS services,yes,Technical,smart worker,no,no,Applications Developer
9,6,3,5,no,no,app development,hacking,medium,excellent,Computer Architecture,security,product development,yes,Management,hard worker,yes,yes,Applications Developer
4,6,1,9,yes,no,shell programming,cloud computing,excellent,medium,parallel computing,cloud computing,Testing and Maintainance Services,no,Technical,hard worker,no,yes,Applications Developer
6,1,7,4,no,yes,information security,web technologies,excellent,excellent,parallel computing,Business process analyst,Finance,yes,Technical,smart worker,no,yes,Applications Developer
6,0,7,7,yes,yes,app development,game development,poor,medium,parallel computing,testing,product development,no,Technical,hard worker,yes,no,Applications Developer
4,5,1,4,yes,no,shell programming,game development,medium,medium,hacking,Business process analyst,Product based,yes,Management,smart worker,no,no,Applications Developer
4,4,8,4,no,no,distro making,cloud computing,poor,poor,programming,Business process analyst,BPA,no,Technical,smart worker,no,yes,Applications Developer
6,4,2,7,no,no,distro making,database security,poor,excellent,networks,security,SAaS services,no,Management,smart worker,yes,no,Applications Developer
1,0,6,6,no,yes,hadoop,system designing,excellent,excellent,cloud computing,security,Testing and Maintainance Services,yes,Management,hard worker,no,yes,Applications Developer
3,1,5,4,no,yes,full stack,data science,medium,poor,Computer Architecture,developer,Finance,yes,Management,hard worker,yes,no,Applications Developer
8,4,4,9,yes,no,app development,testing,medium,excellent,parallel computing,cloud computing,Product based,yes,Management,smart worker,no,yes,Applications Developer
5,4,3,6,no,no,app development,web technologies,medium,medium,networks,cloud computing,product development,no,Technical,smart worker,no,no,Applications Developer
1,5,2,7,yes,no,python,database security,excellent,poor,cloud computing,system developer,Finance,no,Technical,hard worker,no,yes,Applications Developer
4,0,5,5,no,no,shell programming,data science,medium,excellent,Management,cloud computing,Sales and Marketing,yes,Management,hard worker,yes,yes,Applications Developer
3,0,3,5,yes,yes,shell programming,hacking,medium,medium,programming,cloud computing,Finance,no,Technical,hard worker,no,no,Applications Developer
2,6,3,2,yes,yes,full stack,database security,excellent,poor,networks,cloud computing,BPA,yes,Management,smart worker,no,no,Applications Developer
2,1,7,1,no,no,machine learning,game development,poor,poor,parallel computing,Business process analyst,Testing and Maintainance Services,no,Management,hard worker,no,yes,Applications Developer
6,4,9,2,no,yes,full stack,hacking,excellent,poor,Software Engineering,security,Finance,yes,Technical,hard worker,yes,no,Applications Developer
3,3,6,3,yes,no,shell programming,database security,medium,poor,Management,testing,Product based,yes,Technical,hard worker,no,yes,Applications Developer
3,5,5,7,yes,yes,r programming,data science,poor,excellent,hacking,cloud computing,Web Services,yes,Management,smart worker,no,yes,Applications Developer
7,1,6,5,yes,no,shell programming,database security,medium,excellent,Computer Architecture,security,Testing and Maintainance Services,no,Technical,hard worker,no,yes,Applications Developer
3,5,4,1,no,no,shell programming,web technologies,medium,excellent,cloud computing,system developer,Sales and Marketing,no,Technical,hard worker,no,no,Applications Developer
6,3,3,4,no,yes,shell programming,system designing,excellent,medium,cloud computing,security,Cloud Services,no,Management,smart worker,yes,yes,Applications Developer
1,0,7,8,yes,no,python,system designing,poor,medium,parallel computing,developer,Product based,no,Technical,hard worker,yes,no,Applications Developer
6,6,2,5,yes,no,machine learning,web technologies,excellent,excellent,programming,testing,Web Services,no,Technical,hard worker,yes,yes,Applications Developer
6,0,7,8,yes,yes,hadoop,game development,medium,medium,cloud computing,Business process analyst,Product based,no,Management,hard worker,yes,yes,Applications Developer
1,4,6,6,no,yes,python,testing,poor,excellent,hacking,security,Product based,no,Management,smart worker,yes,no,Applications Developer
5,6,2,2,no,no,r programming,database security,medium,excellent,hacking,developer,SAaS services,no,Technical,smart worker,no,no,Applications Developer
5,5,2,3,no,no,shell programming,hacking,excellent,poor,IOT,cloud computing,Finance,no,Management,smart worker,no,yes,Applications Developer
6,3,3,6,no,no,shell programming,testing,excellent,excellent,Management,cloud computing,Testing and Maintainance Services,no,Management,smart worker,no,yes,Applications Developer
4,3,2,5,yes,no,python,web technologies,poor,poor,IOT,developer,SAaS services,yes,Technical,smart worker,yes,yes,Applications Developer
2,2,7,8,no,yes,information security,data science,excellent,medium,Computer Architecture,system developer,Finance,no,Technical,smart worker,yes,no,Applications Developer
6,6,4,1,yes,no,shell programming,system designing,excellent,excellent,IOT,Business process analyst,BPA,no,Technical,hard worker,yes,no,Applications Developer
6,3,9,1,no,yes,distro making,web technologies,poor,medium,Management,developer,Sales and Marketing,yes,Management,hard worker,no,no,Applications Developer
3,0,7,3,yes,yes,full stack,testing,poor,excellent,programming,cloud computing,Product based,no,Technical,smart worker,no,yes,Applications Developer
9,2,5,9,no,no,distro making,data science,poor,excellent,Management,cloud computing,product development,yes,Management,smart worker,yes,yes,Applications Developer
3,2,4,1,yes,no,machine learning,database security,medium,excellent,IOT,cloud computing,product development,no,Technical,hard worker,yes,yes,Applications Developer
3,5,1,5,no,no,app development,web technologies,medium,poor,cloud computing,developer,Service Based,yes,Management,smart worker,yes,no,Applications Developer
2,2,2,2,yes,no,shell programming,testing,medium,poor,parallel computing,developer,Web Services,yes,Technical,smart worker,yes,yes,Applications Developer
5,3,9,6,yes,yes,distro making,hacking,excellent,medium,hacking,developer,Service Based,no,Management,hard worker,no,yes,Applications Developer
6,6,4,3,no,yes,shell programming,game development,excellent,medium,parallel computing,system developer,Finance,no,Management,hard worker,no,no,Applications Developer
3,4,1,1,yes,no,hadoop,data science,poor,medium,IOT,cloud computing,Web Services,yes,Technical,smart worker,yes,no,Applications Developer
9,4,4,2,no,no,shell programming,game development,poor,excellent,IOT,Business process analyst,Service Based,yes,Management,hard worker,yes,yes,Applications Developer
4,0,6,4,no,no,r programming,data science,excellent,poor,Computer Architecture,developer,Sales and Marketing,no,Technical,hard worker,yes,yes,Applications Developer
1,3,7,5,no,no,r programming,database security,poor,poor,hacking,security,BPA,no,Technical,hard worker,no,yes,Applications Developer
4,3,8,9,no,no,machine learning,game development,medium,poor,networks,testing,Service Based,no,Technical,smart worker,no,no,Applications Developer
4,0,8,7,yes,no,shell programming,cloud computing,medium,poor,cloud computing,security,Finance,no,Management,smart worker,yes,no,Applications Developer
8,5,1,4,yes,no,hadoop,testing,excellent,excellent,Computer Architecture,system developer,Web Services,yes,Technical,hard worker,no,no,Applications Developer
4,6,2,8,no,yes,distro making,web technologies,excellent,medium,programming,cloud computing,Sales and Marketing,yes,Management,hard worker,no,no,Applications Developer
5,3,7,3,no,no,hadoop,system designing,poor,poor,Management,system developer,SAaS services,no,Technical,smart worker,no,no,Applications Developer
2,2,2,3,yes,yes,hadoop,game development,excellent,excellent,Computer Architecture,Business process analyst,Cloud Services,no,Management,smart worker,no,no,Applications Developer
8,1,2,8,no,no,hadoop,game development,medium,excellent,parallel computing,testing,Finance,no,Technical,hard worker,yes,yes,Applications Developer
2,3,4,8,yes,no,shell programming,game development,medium,excellent,programming,system developer,Web Services,yes,Technical,hard worker,yes,no,Applications Developer
2,5,9,1,no,no,shell programming,system designing,excellent,poor,programming,system developer,product development,no,Management,hard worker,no,yes,Applications Developer
7,4,9,3,yes,no,app development,data science,poor,excellent,Software Engineering,cloud computing,Cloud Services,no,Technical,smart worker,no,yes,Applications Developer
5,3,6,4,no,yes,distro making,cloud computing,medium,poor,Management,testing,Finance,no,Technical,hard worker,yes,no,Applications Developer
6,3,2,7,yes,yes,hadoop,hacking,medium,excellent,parallel computing,developer,SAaS services,yes,Technical,hard worker,yes,no,Applications Developer
9,0,1,5,no,yes,machine learning,web technologies,excellent,medium,parallel computing,Business process analyst,Cloud Services,yes,Management,smart worker,yes,no,Applications Developer
4,3,6,7,no,yes,machine learning,hacking,excellent,medium,Computer Architecture,developer,Sales and Marketing,yes,Management,smart worker,yes,no,Applications Developer
6,1,1,6,no,no,machine learning,cloud computing,excellent,excellent,programming,developer,Cloud Services,no,Technical,smart worker,yes,no,Applications Developer
5,0,7,2,yes,yes,python,cloud computing,poor,poor,cloud computing,Business process analyst,BPA,yes,Technical,smart worker,no,yes,Applications Developer
7,3,8,9,yes,yes,full stack,hacking,medium,excellent,cloud computing,Business process analyst,Cloud Services,yes,Management,smart worker,yes,no,Applications Developer
6,0,6,4,no,yes,python,hacking,poor,medium,programming,testing,Service Based,yes,Management,smart worker,yes,yes,Applications Developer
5,4,6,3,yes,no,full stack,testing,poor,medium,cloud computing,system developer,Web Services,yes,Management,smart worker,yes,yes,Applications Developer
2,2,4,6,yes,yes,shell programming,data science,medium,excellent,programming,security,Product based,no,Management,smart worker,no,yes,Applications Developer
2,0,1,8,yes,yes,distro making,data science,poor,medium,programming,Business process analyst,Testing and Maintainance Services,yes,Technical,smart worker,no,no,Applications Developer
4,6,8,3,no,no,machine learning,data science,excellent,medium,Management,Business process analyst,Sales and Marketing,no,Technical,smart worker,no,yes,Applications Developer
7,6,3,9,no,yes,full stack,system designing,medium,poor,Computer Architecture,testing,Web Services,yes,Technical,hard worker,yes,yes,Applications Developer
4,6,8,4,yes,yes,information security,database security,excellent,poor,cloud computing,testing,Testing and Maintainance Services,no,Management,hard worker,no,no,Applications Developer
4,5,7,4,yes,yes,information security,game development,poor,poor,Management,Business process analyst,Product based,yes,Technical,hard worker,no,yes,Applications Developer
4,3,2,1,no,no,information security,hacking,poor,medium,IOT,system developer,Testing and Maintainance Services,no,Management,smart worker,yes,yes,Applications Developer
7,0,6,6,yes,yes,python,system designing,excellent,poor,data engineering,system developer,SAaS services,no,Technical,hard worker,yes,yes,Applications Developer
1,1,5,3,yes,yes,hadoop,database security,excellent,medium,IOT,cloud computing,product development,no,Management,smart worker,yes,no,Applications Developer
9,5,9,6,no,no,hadoop,hacking,medium,excellent,IOT,developer,Service Based,yes,Management,smart worker,no,yes,Applications Developer
3,2,4,2,no,no,hadoop,system designing,medium,medium,data engineering,developer,Sales and Marketing,yes,Technical,smart worker,no,yes,Applications Developer
2,6,7,4,yes,yes,full stack,data science,poor,poor,Management,system developer,Testing and Maintainance Services,yes,Technical,hard worker,yes,yes,Applications Developer
1,6,8,1,no,no,shell programming,system designing,medium,medium,hacking,testing,Finance,no,Management,smart worker,yes,no,Applications Developer
6,5,5,6,no,yes,hadoop,system designing,medium,medium,data engineering,testing,Sales and Marketing,no,Management,hard worker,no,yes,Applications Developer
1,1,7,7,no,no,information security,testing,poor,medium,data engineering,security,SAaS services,yes,Technical,hard worker,no,yes,Applications Developer
1,6,7,9,no,yes,information security,database security,medium,poor,hacking,cloud computing,SAaS services,yes,Management,hard worker,no,yes,Applications Developer
8,6,2,1,no,yes,r programming,data science,medium,medium,cloud computing,security,Web Services,no,Technical,hard worker,no,no,Applications Developer
5,4,7,1,yes,no,information security,system designing,medium,medium,hacking,cloud computing,Sales and Marketing,yes,Management,smart worker,no,no,Applications Developer
6,1,1,7,no,yes,full stack,hacking,medium,medium,Software Engineering,system developer,SAaS services,no,Technical,smart worker,yes,yes,Applications Developer
3,4,3,3,yes,yes,python,game development,poor,medium,networks,security,Sales and Marketing,no,Technical,smart worker,no,no,Applications Developer
4,1,7,8,yes,no,shell programming,game development,poor,medium,Computer Architecture,testing,Testing and Maintainance Services,yes,Technical,smart worker,yes,no,Applications Developer
3,4,8,6,yes,yes,hadoop,testing,poor,poor,IOT,developer,Cloud Services,yes,Technical,smart worker,yes,no,Applications Developer
2,2,2,7,yes,yes,hadoop,system designing,excellent,medium,programming,testing,Product based,yes,Technical,smart worker,no,yes,Applications Developer
9,1,8,1,no,yes,shell programming,web technologies,medium,poor,Management,cloud computing,Web Services,yes,Management,smart worker,yes,yes,Applications Developer
9,1,5,6,no,yes,information security,hacking,excellent,excellent,Management,security,Testing and Maintainance Services,yes,Technical,hard worker,no,yes,Applications Developer
3,5,2,1,no,no,python,database security,medium,excellent,Computer Architecture,testing,Sales and Marketing,yes,Technical,hard worker,yes,yes,Applications Developer
7,4,8,5,yes,no,full stack,cloud computing,medium,poor,cloud computing,cloud computing,Finance,yes,Technical,hard worker,no,no,Applications Developer
1,3,8,5,no,no,hadoop,hacking,poor,medium,data engineering,developer,Sales and Marketing,yes,Management,smart worker,yes,yes,Applications Developer
7,2,8,5,no,yes,shell programming,system designing,poor,poor,programming,system developer,SAaS services,no,Technical,smart worker,no,no,Applications Developer
2,2,8,1,no,no,shell programming,web technologies,poor,poor,Management,Business process analyst,SAaS services,yes,Management,hard worker,yes,no,Applications Developer
1,1,2,6,no,no,distro making,game development,medium,poor,Management,system developer,SAaS services,yes,Technical,smart worker,yes,no,Applications Developer
1,6,3,6,no,no,python,cloud computing,excellent,medium,Software Engineering,Business process analyst,Testing and Maintainance Services,no,Management,hard worker,yes,yes,Applications Developer
2,6,7,1,yes,yes,machine learning,system designing,medium,medium,hacking,testing,Finance,no,Technical,hard worker,no,yes,Applications Developer
1,4,5,4,yes,no,distro making,web technologies,medium,poor,Computer Architecture,system developer,Product based,no,Technical,hard worker,no,no,Applications Developer
1,6,4,2,yes,no,python,hacking,medium,excellent,cloud computing,Business process analyst,Product based,yes,Management,smart worker,yes,yes,Applications Developer
